age,gender,education,mental_illbeing_cause_1,mental_illbeing_cause_2,mental_illbeing_mechanism_1,mental_illbeing_mechanism_2,favorite_modern_feature_1,favorite_modern_feature_2,favorite_modern_feature_3,mothers_specific,fathers_specific,children_specific
20,female,15,individualistic values,no collectivism,at the end of the day people need other people and we’ve glorified independence.,people need to build strong communities.,connectivity and sharing culture.,my quality of life - having basic needs met.,social media has normalized evil (ex: desensitizing us to genocide).,"Over investment in their children and spouses lives as apposed to their own sources of happiness. I know a lot of mothers that feel like they have to give up their personal hobbies, friends, interests, etc to play “supporting roles” in their loved ones lives.",Lack of knowledge about mental health/ recognition of it as a serious part of life. Even those that recognize mental health is real don’t really think of it as something that applies to them personally.  (thinking of mental health as a “first world problem” or “other people have it worse” or “God got me” mentalities *specifically African fathers bc those are the ones in my life).,Too much screen time and not enough real life interaction (ex: playing outside) prevents children from learning fundamental social skills.
20,NA,12,personal identities,unpredictable futures,many individuals are worried about how to fit into social norms while still representing their fullest selves.,"many obstacles can come about while determining careers and passions, and many people do not have the necessary resources to achieve their goals.",the many advanced technologies that have been developed (and the access we have to these).,the celebration of unique and thrifted fashion and repurposing - our ability to break the status quo.,"people are very critical and unfiltered, and some choose to use their opinions to target vulnerable groups.","motherhood: postpartum, raising children, generational traumas that impact motherhood, expectations and responsibilities, the impressions you set for your children, lack of expectancy/preparation/resources.",society's pressure to be the breadwinner or provider of the household.,understanding how to showcase themselves: children make several efforts to embody what they witness in the media or in their circles or to fit in to external environments due to neglect  (emotional or physical) at home.
20,female,15,capitalistic culture,stigmas,My friends and I often talk about how it would be nice to work to live rather than live to work. I think this pursuit for the American dream and to have enough money to live comfortably has led us to work ourselves until burnout.,Much of how we view mental health is separate from physical health and thus the resources are fewer. This grind culture can also make it seem as though having a mental health issue is a weakness which also contributes to the lack of treatment.,"My favorite thing about modern life would probably be the way in which technology connects us. While there are many downsides to the growing influence of technology, I find beauty in shared experiences; technology and social media allows us to voice our experiences with people we otherwise would not have interacted with.",My second favorite thing would be the tools that have allowed for modern medicine. If I was a Victorian child I’d no doubt be dead with the immune system I have. Vaccinations are a great thing.,my least favorite thing is the flipside of my favorite thing: the way hate can be amplified.,"The patriarchy. Our expectations of women’s role as mothers are different from men's role as father. The roles we conform mothers to can greatly impact their mental health. Furthermore, there is a general lack of awareness when it comes to post partum depression and the after effects of giving birth. ",The patriarchy. Historically men are seen as the breadwinners and the heads of families; our expectations of what fathers should be can be suffocating and harmful. , The state of our world. How are we to prosper as a society when literal children can be killed in their place of education. The pandemic also greatly stunted the progression of many young children. 
21,female,15,media exposure,phone dependency,There is so much that occurs on social media platforms which influence generations permanently.,Individuals get exposed to technology and social media at early stages of life which create these dependencies.,Increased interconnectedness and an emphasis on being a global citizen. The internet has changed the way we consume and relate to information and people. We have more reach in accessing information and connecting with others. ,Content creation becoming a medium of revenue for young people.,Artificial Intelligence ,"Less time for maternity leave, increased focus on career advancement, glass ceiling and wage gap in a period of economic inflation that leads to increased pressure in raising children as well as toxic environments/competition due to increase of women joining previously male dominated work spaces.",Pressure of having to provide for and lead a family as well as maintain a healthy mental headspace in a society that has not normalized or prioritized a safe space for men to talk about vulnerability/mental health.,Increased exposure to social media and perceived societal expectations.
20,female,15,college degree,college tuition,People often place their grades and educational achievement over mental health.,"There's been a large increase in the price of college which is not congruent to inflation, and people are paying extensive amounts of money on a level of education that is required at this point in time.",Being able to connect nationally and internationally with family and friends.,"The convenience of the technology we have today (i.e. doordash, uber, etc.).","In the same way that phones connect us, they can also isolate us. People value in-person communication less now that we can do things remotely. It separates us from each other which negatively impacts mental and emotional health as you're never physically socializing with others.",Maternity leave-women have less time off during maternity leave in the U.S. compared to other countries. This is an instance where the lean on more remote work may help with this as mothers would have more of an opportunity to stay at home while working.,They don't get paternity leave and this takes away from their time to bond and connect with their children during newborn stages. They may not feel as connected to their families in the ways that mothers may be able to.,"Technology-kids nowadays are very invested in their phones, tablets, etc. in every setting you see them in. They need to learn how to be ""human"" again and socialize face-to-face."
20,female,15,environmental triggers,dismissing help,"For example, I am a pre-med student whose semester is always filled with hard STEM classes. There’s a period of time where I get depressed but I always struggle with recognizing that these classes can sometimes trigger it. And instead of recognizing this trigger, and trying to relieve the courseload for future semesters, I end up in the same pattern.","dismissing the tools such as therapy/counseling, that help relieve mental health issues. ",the ability to create a network of support among people.,the realization that you’re not alone and there are other people who may have or had experienced the same troubles or challenges as you.,"there is not much love expressed towards people, black people and other marginalized groups often face discrimination.",Lack of support from significant others and family members during the postpartum period.,"their belief that they should keep the burden of most of the responsibilities of the household such as taking care of bills, house issues, children, etc. They never reach out to their spouse to share their feelings, always keeping things within themselves.	",Lack of emotional support from parents. Being dismissed when they share problems with their mental health. Some children express that they are depressed to their parents but their parents don’t understand the root of their depression since they believe food and shelter shouldn’t have them depressed. 
20,female,15,country's culture,little resource,There is pressure to constantly be on the go and we prioritize work over most everything else; there’s not enough time to live and little flexibility to tend to our mental and emotional needs.,"I think that this is changing, but until recently, there hadn’t been enough awareness around mental health or easy+affordable accessibility to resources. Marginalized communities that are often most affected by traumatizing experiences, discrimination, etc. often receive the least resources  ","Favorite thing is the multitude of avenues that exist to learn; we have books, museums, online media, the ability to travel and learn ab other cultures, etc.","Second favorite thing is innovative technology that makes life easier; having things like easy transportation, computers, etc.",Least favorite thing is our hustle culture.,"Not having sufficient support to be able to comfortably take a break and tend to their own needs. Being a mother is all consuming and then there may be additional responsibilities to contribute financially, take care of the house, respond to life stressors, etc. Mother may be working to meet everyone elses need but their own","Rigid gender stereotypes that condition men to behave in certain ways and meet high expectations+difficulty embracing parts of themselves that fall outside of the gender norm. Fathers may feel extreme pressure to always provide, always be strong, always be in control, etc. but that isn’t humanly possible, failure to do so may lead to feelings of inadequacy and poor mental health. ",Exposure to adverse childhood experiences (ACEs) and then not receiving the appropriate resources to unpack and cope with those experiences.
25,male,16,social media,societal demands,"People are constantly shown imagery in social media, television, billboards, etc., of people living their lives to the fullest and enjoying all the things that most others don't have, such as financial freedom to vacation to beautiful places, awesome and respectable careers, exciting adventures, epic parties, beautiful romantic/sexual partners, etc.","If people fail to fulfill these expectations by a certain age, then they’ll often just consider themselves a disappointment and failure.","My favorite part about modern human life is the advancements that have been made in the medical field, such as AIDS.",My second favorite thing is the vast amount of information available to us.,My least favorite thing is the constant expectation of availability.,"mental exhaustion from the daunting task of having to nurture children in an ever-changing environment. For example, stay-at home parenting has become less common due to higher costs of living leading necessitating for the mother to work. ","loneliness and isolation. In most cases, men are taught from a young age that they must portray a sense of toxic masculinity in order to portray strength and resilience. This leads to men unhealthily holding in various feelings for the fear of looking “unmanly”.","unrealistic expectations. With the rise of social media, children judge themselves and others through superficial means of instant gratification."
23,female,16,indirect engagement,proving ourselves,"with the increase of social media, people have put less emphasis on developing their social and emotion intelligence and health-this has created a sense of loneliness amongst the population. Human beings are not wired to interact through a screen, so that lack of social interaction has contributed to feelings of depression.",Many people have gained online titles such as influencers and there is pressure put on the amount of followers and likes gained on platforms. More people feel that they must show perfect versions of themselves online which is not a reflection of reality-almost as if living a double lifestyle.,the access to information and knowledge that is more readily available through the internet and travel.,"the opportunity and access to creative digital platforms that allow you to establish your own platform-YouTube and Tik Tok allow people to tap into their creativity, share opinions, and connect with others.",This access through the internet and social media has given people this false sense of power and influence and the ability to say and do whatever they want.,"an increase in unrealistic expectations for their roles-a lot of single mothers are expected to show up as ""mom and dad,"" and the polarity of those roles may make them struggle to come into who they are as women, and ultimately as mothers.","a lack of expectations and not having clarity on how to show up as men in society, but also as fathers (and the men and women of tomorrow)-there's this double standard that creates confusion for men and their role (i.e. paternity leave, not expected to show up in the same way for their children as mothers are)-this creates a lack of belonging.","access to social media too early-this plays against parenting/modern parenting, social and emotional development in children, and children's ideas and opinions may stem from social media platforms and personalities."
21,female,15,unknown futures,early expectations,much pressure is put on kids and young adults about what they'll do in the future. ,"from a young age, people have to know what they want to do with their lives, the level of education they want to obtain though they may be unsure (understandably so).",technology-being able to connect with friends from across the border or across state lines without actually seeing them (and being able to stay in touch with people that I wouldn't have if there was no technology).,how everyone is interconnected because of social media.,people are unable to remain present because of social media.,"the pressure and expections placed on new mothers-it's harder to be a mother and keep your standing in jobs, pay, paid leave, seeming weaker because they are also caregivers, etc.","people expect them to remain in the workplace and to be providers, being unable to take breaks-men are expected to think less about childcare and more about being breadwinners.","being too involved in technology and them having access to social media-they can be exposed to the wrong media, inappropriate content, and insecurity."
